log_id,user,action,device,location,anomaly_score,timestamp
31,user_59,Failed Login,Linux,UK,0.49,2024-01-01 00:30:00
32,user_40,Failed Login,Mac,China,0.33,2024-01-01 00:31:00
33,user_75,Failed Login,Mac,USA,0.24,2024-01-01 00:32:00
34,user_88,VPN Access,iOS,India,0.49,2024-01-01 00:33:00
35,user_18,Login,Mac,UK,0.18,2024-01-01 00:34:00
36,user_85,File Access,Android,Germany,0.44,2024-01-01 00:35:00
37,user_32,VPN Access,Android,USA,0.21,2024-01-01 00:36:00
38,user_63,Privilege Escalation,Mac,USA,0.66,2024-01-01 00:37:00
39,user_67,Privilege Escalation,Android,USA,0.09,2024-01-01 00:38:00
40,user_95,Data Exfiltration,Mac,USA,0.19,2024-01-01 00:39:00
41,user_9,Login,iOS,USA,0.39,2024-01-01 00:40:00
42,user_96,VPN Access,Mac,India,0.28,2024-01-01 00:41:00
43,user_80,Privilege Escalation,Linux,UK,0.85,2024-01-01 00:42:00
44,user_72,File Access,Mac,Germany,0.46,2024-01-01 00:43:00
45,user_88,Suspicious Command,iOS,India,0.82,2024-01-01 00:44:00
46,user_25,VPN Access,Mac,USA,0.09,2024-01-01 00:45:00
47,user_88,Failed Login,Mac,USA,0.06,2024-01-01 00:46:00
48,user_52,VPN Access,Windows,India,0.62,2024-01-01 00:47:00
49,user_66,Suspicious Command,Linux,Russia,0.59,2024-01-01 00:48:00
50,user_64,Suspicious Command,Mac,Russia,0.33,2024-01-01 00:49:00
51,user_45,Privilege Escalation,Linux,Germany,0.27,2024-01-01 00:50:00
52,user_95,Suspicious Command,Linux,China,0.45,2024-01-01 00:51:00
53,user_8,Privilege Escalation,Android,India,0.35,2024-01-01 00:52:00
54,user_64,VPN Access,Windows,Germany,0.48,2024-01-01 00:53:00
55,user_33,Login,iOS,USA,0.98,2024-01-01 00:54:00
56,user_40,File Access,iOS,Russia,0.54,2024-01-01 00:55:00
57,user_60,Login,Windows,Russia,0.18,2024-01-01 00:56:00
58,user_76,Privilege Escalation,Linux,Germany,0.25,2024-01-01 00:57:00
59,user_66,VPN Access,iOS,USA,0.49,2024-01-01 00:58:00
60,user_20,Suspicious Command,Mac,UK,0.61,2024-01-01 00:59:00
61,user_70,File Access,Windows,UK,0.44,2024-01-01 01:00:00
62,user_50,Data Exfiltration,Mac,China,0.6,2024-01-01 01:01:00
63,user_98,Failed Login,Linux,USA,0.7,2024-01-01 01:02:00
64,user_14,VPN Access,Windows,UK,0.26,2024-01-01 01:03:00
65,user_12,Failed Login,Windows,Germany,0.53,2024-01-01 01:04:00
66,user_53,VPN Access,Mac,Russia,0.81,2024-01-01 01:05:00
67,user_9,Login,iOS,UK,0.19,2024-01-01 01:06:00
68,user_82,VPN Access,Mac,UK,0.62,2024-01-01 01:07:00
69,user_42,Suspicious Command,iOS,Germany,0.91,2024-01-01 01:08:00
70,user_21,VPN Access,iOS,UK,0.95,2024-01-01 01:09:00
71,user_59,Login,iOS,Germany,0.68,2024-01-01 01:10:00
72,user_80,Failed Login,Android,USA,0.07,2024-01-01 01:11:00
73,user_35,Suspicious Command,Windows,UK,0.49,2024-01-01 01:12:00
74,user_74,File Access,Android,USA,0.48,2024-01-01 01:13:00
75,user_28,VPN Access,iOS,UK,0.56,2024-01-01 01:14:00
76,user_99,File Access,Android,India,0.7,2024-01-01 01:15:00
77,user_68,VPN Access,Windows,USA,0.89,2024-01-01 01:16:00
78,user_74,Suspicious Command,Windows,China,0.67,2024-01-01 01:17:00
79,user_20,Failed Login,Mac,China,0.4,2024-01-01 01:18:00
80,user_65,Data Exfiltration,Mac,China,0.19,2024-01-01 01:19:00
81,user_54,Data Exfiltration,Windows,China,0.14,2024-01-01 01:20:00
82,user_12,Suspicious Command,iOS,UK,0.6,2024-01-01 01:21:00
83,user_52,File Access,Windows,Russia,0.56,2024-01-01 01:22:00
84,user_51,Suspicious Command,iOS,UK,0.62,2024-01-01 01:23:00
85,user_97,Suspicious Command,iOS,USA,0.39,2024-01-01 01:24:00
86,user_76,Privilege Escalation,Mac,Germany,0.48,2024-01-01 01:25:00
87,user_60,Login,iOS,UK,0.12,2024-01-01 01:26:00
88,user_90,File Access,Windows,China,0.2,2024-01-01 01:27:00
89,user_69,Failed Login,Android,China,0.42,2024-01-01 01:28:00
90,user_71,Data Exfiltration,Mac,Russia,0.21,2024-01-01 01:29:00
91,user_9,File Access,Windows,India,0.94,2024-01-01 01:30:00
92,user_69,VPN Access,iOS,India,0.38,2024-01-01 01:31:00
93,user_49,Privilege Escalation,Windows,India,0.85,2024-01-01 01:32:00
94,user_51,Failed Login,Android,India,0.53,2024-01-01 01:33:00
95,user_38,Data Exfiltration,Android,Germany,0.48,2024-01-01 01:34:00
96,user_87,VPN Access,Linux,Russia,0.86,2024-01-01 01:35:00
97,user_97,Data Exfiltration,Linux,China,0.47,2024-01-01 01:36:00
98,user_47,Data Exfiltration,Mac,Russia,0.26,2024-01-01 01:37:00
99,user_49,VPN Access,Mac,UK,0.37,2024-01-01 01:38:00
100,user_74,Data Exfiltration,Mac,Russia,0.79,2024-01-01 01:39:00
101,user_68,Privilege Escalation,Mac,Russia,0.11,2024-01-01 01:40:00
102,user_71,VPN Access,Android,India,0.88,2024-01-01 01:41:00
103,user_29,Privilege Escalation,iOS,Germany,0.52,2024-01-01 01:42:00
104,user_65,Privilege Escalation,Mac,China,0.7,2024-01-01 01:43:00
105,user_6,Privilege Escalation,Mac,USA,0.29,2024-01-01 01:44:00
106,user_82,VPN Access,Windows,India,0.08,2024-01-01 01:45:00
107,user_72,File Access,iOS,Russia,0.18,2024-01-01 01:46:00
108,user_99,Data Exfiltration,iOS,Germany,0.41,2024-01-01 01:47:00
109,user_65,VPN Access,Windows,China,0.26,2024-01-01 01:48:00
110,user_29,VPN Access,iOS,India,0.4,2024-01-01 01:49:00
111,user_96,Login,Mac,China,0.24,2024-01-01 01:50:00
112,user_80,Login,Android,China,0.54,2024-01-01 01:51:00
113,user_52,Login,iOS,India,0.43,2024-01-01 01:52:00
114,user_93,Failed Login,Windows,Russia,0.58,2024-01-01 01:53:00
115,user_62,Suspicious Command,Linux,Germany,0.09,2024-01-01 01:54:00
116,user_81,VPN Access,Linux,India,0.63,2024-01-01 01:55:00
117,user_98,Failed Login,iOS,India,0.45,2024-01-01 01:56:00
118,user_86,Data Exfiltration,iOS,India,0.33,2024-01-01 01:57:00
119,user_25,Data Exfiltration,Linux,Germany,0.13,2024-01-01 01:58:00
120,user_37,VPN Access,Android,UK,0.34,2024-01-01 01:59:00
121,user_66,Data Exfiltration,Linux,India,0.96,2024-01-01 02:00:00
122,user_58,VPN Access,Android,UK,0.02,2024-01-01 02:01:00
123,user_17,Failed Login,Windows,UK,0.17,2024-01-01 02:02:00
124,user_52,Failed Login,iOS,USA,0.14,2024-01-01 02:03:00
125,user_29,File Access,Android,Germany,0.18,2024-01-01 02:04:00
126,user_14,Suspicious Command,Linux,UK,0.98,2024-01-01 02:05:00
127,user_99,Suspicious Command,Android,India,0.43,2024-01-01 02:06:00
128,user_100,Login,iOS,China,0.15,2024-01-01 02:07:00
129,user_52,Data Exfiltration,Windows,India,0.77,2024-01-01 02:08:00
130,user_18,Login,iOS,Germany,0.33,2024-01-01 02:09:00
131,user_93,Privilege Escalation,Android,UK,0.39,2024-01-01 02:10:00
132,user_28,Failed Login,Windows,USA,0.03,2024-01-01 02:11:00
133,user_52,Suspicious Command,Mac,UK,0.3,2024-01-01 02:12:00
134,user_73,Failed Login,Mac,USA,1.0,2024-01-01 02:13:00
135,user_7,Privilege Escalation,iOS,USA,0.5,2024-01-01 02:14:00
136,user_47,Privilege Escalation,Android,UK,0.2,2024-01-01 02:15:00
137,user_16,File Access,Linux,China,0.84,2024-01-01 02:16:00
138,user_14,File Access,Windows,China,0.54,2024-01-01 02:17:00
139,user_89,Privilege Escalation,iOS,China,0.13,2024-01-01 02:18:00
140,user_10,Privilege Escalation,Linux,UK,0.55,2024-01-01 02:19:00
141,user_24,File Access,Mac,UK,0.82,2024-01-01 02:20:00
142,user_86,Failed Login,Mac,India,0.27,2024-01-01 02:21:00
143,user_67,Privilege Escalation,Android,India,0.15,2024-01-01 02:22:00
144,user_30,Suspicious Command,Windows,UK,0.46,2024-01-01 02:23:00
145,user_81,Data Exfiltration,Mac,Germany,0.55,2024-01-01 02:24:00
146,user_1,Failed Login,Mac,Germany,0.14,2024-01-01 02:25:00
147,user_54,VPN Access,Android,USA,0.25,2024-01-01 02:26:00
148,user_52,Data Exfiltration,Android,UK,0.88,2024-01-01 02:27:00
149,user_57,Login,Linux,India,0.52,2024-01-01 02:28:00
150,user_66,Data Exfiltration,Mac,UK,0.93,2024-01-01 02:29:00
151,user_43,Data Exfiltration,Mac,India,0.3,2024-01-01 02:30:00
152,user_69,Failed Login,iOS,USA,0.75,2024-01-01 02:31:00
153,user_49,Suspicious Command,Android,USA,0.56,2024-01-01 02:32:00
154,user_17,Suspicious Command,Mac,China,0.84,2024-01-01 02:33:00
155,user_29,Failed Login,iOS,Germany,0.25,2024-01-01 02:34:00
156,user_53,Suspicious Command,Windows,China,0.28,2024-01-01 02:35:00
157,user_67,Failed Login,iOS,India,0.61,2024-01-01 02:36:00
158,user_46,Data Exfiltration,iOS,Russia,0.58,2024-01-01 02:37:00
159,user_76,Data Exfiltration,Windows,Germany,0.33,2024-01-01 02:38:00
160,user_67,Failed Login,Mac,UK,0.88,2024-01-01 02:39:00
161,user_67,Failed Login,iOS,USA,0.27,2024-01-01 02:40:00
162,user_72,Data Exfiltration,Windows,India,0.62,2024-01-01 02:41:00
163,user_3,VPN Access,iOS,USA,0.32,2024-01-01 02:42:00
164,user_6,Privilege Escalation,Linux,China,0.69,2024-01-01 02:43:00
165,user_37,Login,Windows,USA,0.16,2024-01-01 02:44:00
166,user_61,Failed Login,Windows,Russia,0.49,2024-01-01 02:45:00
167,user_5,VPN Access,Windows,UK,0.1,2024-01-01 02:46:00
168,user_59,Data Exfiltration,iOS,UK,0.99,2024-01-01 02:47:00
169,user_93,Login,Android,Germany,0.39,2024-01-01 02:48:00
170,user_28,Privilege Escalation,Linux,Germany,1.0,2024-01-01 02:49:00
171,user_60,Data Exfiltration,Mac,USA,0.14,2024-01-01 02:50:00
172,user_33,VPN Access,iOS,India,0.14,2024-01-01 02:51:00
173,user_18,File Access,Windows,Russia,0.24,2024-01-01 02:52:00
174,user_78,Failed Login,Android,China,0.5,2024-01-01 02:53:00
175,user_4,VPN Access,Mac,Germany,0.67,2024-01-01 02:54:00
176,user_29,File Access,iOS,Germany,0.86,2024-01-01 02:55:00
177,user_17,VPN Access,Windows,India,0.99,2024-01-01 02:56:00
178,user_69,Suspicious Command,iOS,China,0.27,2024-01-01 02:57:00
179,user_70,Privilege Escalation,iOS,India,0.68,2024-01-01 02:58:00
180,user_66,VPN Access,Android,UK,0.01,2024-01-01 02:59:00
181,user_40,VPN Access,Linux,Germany,0.04,2024-01-01 03:00:00
182,user_12,Privilege Escalation,Android,China,0.5,2024-01-01 03:01:00
183,user_19,Data Exfiltration,Mac,Germany,0.84,2024-01-01 03:02:00
184,user_33,Login,Linux,Germany,0.89,2024-01-01 03:03:00
185,user_13,Data Exfiltration,Android,China,0.49,2024-01-01 03:04:00
186,user_58,VPN Access,Linux,Russia,0.07,2024-01-01 03:05:00
187,user_23,Privilege Escalation,iOS,Russia,0.89,2024-01-01 03:06:00
188,user_47,Suspicious Command,Mac,UK,0.77,2024-01-01 03:07:00
189,user_90,Suspicious Command,Android,Russia,0.17,2024-01-01 03:08:00
190,user_78,Data Exfiltration,Mac,UK,0.41,2024-01-01 03:09:00
191,user_16,Privilege Escalation,Windows,USA,0.18,2024-01-01 03:10:00
192,user_33,Privilege Escalation,iOS,Russia,0.87,2024-01-01 03:11:00
193,user_87,Failed Login,Mac,India,0.71,2024-01-01 03:12:00
194,user_93,File Access,Android,USA,0.1,2024-01-01 03:13:00
195,user_25,File Access,iOS,UK,0.5,2024-01-01 03:14:00
196,user_94,Data Exfiltration,iOS,USA,1.0,2024-01-01 03:15:00
197,user_85,VPN Access,iOS,Russia,0.0,2024-01-01 03:16:00
198,user_81,Data Exfiltration,Android,China,0.28,2024-01-01 03:17:00
199,user_64,Privilege Escalation,Mac,Russia,0.38,2024-01-01 03:18:00
200,user_80,Suspicious Command,iOS,China,0.94,2024-01-01 03:19:00
201,user_97,Privilege Escalation,Mac,UK,0.07,2024-01-01 03:20:00
202,user_34,Data Exfiltration,Windows,Russia,0.57,2024-01-01 03:21:00
203,user_48,Privilege Escalation,Linux,China,0.06,2024-01-01 03:22:00
204,user_64,Privilege Escalation,Windows,USA,0.77,2024-01-01 03:23:00
205,user_57,Data Exfiltration,Windows,Russia,0.94,2024-01-01 03:24:00
206,user_90,File Access,Windows,UK,0.42,2024-01-01 03:25:00
207,user_14,Suspicious Command,iOS,China,0.26,2024-01-01 03:26:00
208,user_51,Failed Login,Android,USA,0.31,2024-01-01 03:27:00
209,user_64,File Access,Windows,USA,0.74,2024-01-01 03:28:00
210,user_62,Suspicious Command,Linux,Germany,0.03,2024-01-01 03:29:00
211,user_86,Data Exfiltration,Android,Russia,0.63,2024-01-01 03:30:00
212,user_56,Privilege Escalation,Linux,India,0.98,2024-01-01 03:31:00
213,user_86,Failed Login,iOS,Russia,0.32,2024-01-01 03:32:00
214,user_74,VPN Access,Windows,China,0.28,2024-01-01 03:33:00
215,user_97,VPN Access,iOS,Germany,0.03,2024-01-01 03:34:00
216,user_34,VPN Access,Windows,Russia,0.59,2024-01-01 03:35:00
217,user_100,Suspicious Command,iOS,UK,0.98,2024-01-01 03:36:00
218,user_97,Data Exfiltration,iOS,USA,0.11,2024-01-01 03:37:00
219,user_12,Data Exfiltration,iOS,China,0.72,2024-01-01 03:38:00
220,user_3,Data Exfiltration,Windows,India,0.96,2024-01-01 03:39:00
221,user_44,Data Exfiltration,Windows,China,0.46,2024-01-01 03:40:00
222,user_94,Privilege Escalation,Mac,USA,0.97,2024-01-01 03:41:00
223,user_75,File Access,Android,China,0.08,2024-01-01 03:42:00
224,user_41,Login,iOS,USA,0.8,2024-01-01 03:43:00
225,user_18,Failed Login,Windows,Germany,0.85,2024-01-01 03:44:00
226,user_58,Failed Login,Mac,USA,0.39,2024-01-01 03:45:00
227,user_69,Failed Login,Windows,USA,0.85,2024-01-01 03:46:00
228,user_21,Data Exfiltration,Android,USA,0.57,2024-01-01 03:47:00
229,user_73,Data Exfiltration,Mac,India,0.21,2024-01-01 03:48:00
230,user_22,Login,Mac,UK,0.24,2024-01-01 03:49:00
231,user_74,VPN Access,Android,Germany,0.15,2024-01-01 03:50:00
232,user_32,File Access,Android,UK,0.38,2024-01-01 03:51:00
233,user_76,VPN Access,Mac,USA,0.63,2024-01-01 03:52:00
234,user_36,File Access,Linux,Germany,0.84,2024-01-01 03:53:00
235,user_10,VPN Access,Android,China,0.56,2024-01-01 03:54:00
236,user_74,VPN Access,Android,UK,0.78,2024-01-01 03:55:00
237,user_69,VPN Access,iOS,India,0.71,2024-01-01 03:56:00
238,user_27,Failed Login,Windows,China,0.08,2024-01-01 03:57:00
239,user_44,Failed Login,Android,USA,0.39,2024-01-01 03:58:00
240,user_84,VPN Access,Mac,India,0.12,2024-01-01 03:59:00
241,user_75,Failed Login,iOS,India,0.31,2024-01-01 04:00:00
242,user_44,Login,Linux,India,0.45,2024-01-01 04:01:00
243,user_52,Privilege Escalation,Android,UK,0.26,2024-01-01 04:02:00
244,user_98,Failed Login,Linux,UK,0.08,2024-01-01 04:03:00
245,user_35,VPN Access,Mac,USA,0.89,2024-01-01 04:04:00
246,user_89,Suspicious Command,Linux,China,0.94,2024-01-01 04:05:00
247,user_46,Privilege Escalation,Android,USA,0.58,2024-01-01 04:06:00
248,user_93,File Access,iOS,UK,0.06,2024-01-01 04:07:00
249,user_59,VPN Access,iOS,Germany,0.73,2024-01-01 04:08:00
250,user_74,Privilege Escalation,iOS,Russia,0.34,2024-01-01 04:09:00
251,user_16,Suspicious Command,Linux,India,0.27,2024-01-01 04:10:00
252,user_82,Data Exfiltration,Mac,China,0.87,2024-01-01 04:11:00
253,user_45,File Access,Android,UK,0.44,2024-01-01 04:12:00
254,user_50,Data Exfiltration,Linux,UK,0.82,2024-01-01 04:13:00
255,user_65,Data Exfiltration,Mac,India,0.39,2024-01-01 04:14:00
256,user_37,Suspicious Command,Android,UK,0.41,2024-01-01 04:15:00
257,user_13,Login,Mac,USA,0.59,2024-01-01 04:16:00
258,user_96,Login,Windows,Russia,0.9,2024-01-01 04:17:00
259,user_5,Login,Linux,India,0.69,2024-01-01 04:18:00
260,user_93,VPN Access,Linux,China,0.3,2024-01-01 04:19:00
261,user_43,Suspicious Command,Mac,India,0.11,2024-01-01 04:20:00
262,user_21,Login,Mac,UK,0.15,2024-01-01 04:21:00
263,user_45,Privilege Escalation,Windows,India,0.17,2024-01-01 04:22:00
264,user_66,Login,Windows,Russia,0.76,2024-01-01 04:23:00
265,user_73,File Access,Linux,UK,0.74,2024-01-01 04:24:00
266,user_72,Data Exfiltration,iOS,Russia,0.98,2024-01-01 04:25:00
267,user_55,Failed Login,Windows,USA,0.62,2024-01-01 04:26:00
268,user_63,Suspicious Command,Windows,China,0.93,2024-01-01 04:27:00
269,user_41,Suspicious Command,Android,India,0.57,2024-01-01 04:28:00
270,user_92,Suspicious Command,Android,Germany,0.47,2024-01-01 04:29:00
271,user_14,Failed Login,Mac,UK,0.71,2024-01-01 04:30:00
272,user_88,Failed Login,Mac,UK,0.7,2024-01-01 04:31:00
273,user_12,Login,iOS,UK,0.91,2024-01-01 04:32:00
274,user_45,VPN Access,Linux,Russia,0.53,2024-01-01 04:33:00
275,user_8,Data Exfiltration,Windows,Russia,0.21,2024-01-01 04:34:00
276,user_56,Privilege Escalation,Windows,USA,0.09,2024-01-01 04:35:00
277,user_27,Login,Android,India,0.57,2024-01-01 04:36:00
278,user_50,Privilege Escalation,Mac,UK,0.16,2024-01-01 04:37:00
279,user_54,Login,Linux,Russia,0.74,2024-01-01 04:38:00
280,user_2,Privilege Escalation,Mac,Russia,0.15,2024-01-01 04:39:00
281,user_12,Privilege Escalation,Android,Germany,0.58,2024-01-01 04:40:00
282,user_10,VPN Access,Linux,China,0.58,2024-01-01 04:41:00
283,user_59,VPN Access,iOS,India,0.17,2024-01-01 04:42:00
284,user_80,Suspicious Command,Mac,India,0.65,2024-01-01 04:43:00
285,user_93,VPN Access,Android,China,0.54,2024-01-01 04:44:00
286,user_87,Login,Android,India,0.24,2024-01-01 04:45:00
287,user_57,Login,Mac,USA,0.64,2024-01-01 04:46:00
288,user_75,Login,Android,USA,0.12,2024-01-01 04:47:00
289,user_92,Data Exfiltration,Android,China,0.29,2024-01-01 04:48:00
290,user_87,Data Exfiltration,Linux,India,0.81,2024-01-01 04:49:00
291,user_29,VPN Access,Windows,India,0.19,2024-01-01 04:50:00
292,user_16,Data Exfiltration,Android,UK,0.73,2024-01-01 04:51:00
293,user_8,Suspicious Command,Android,China,0.9,2024-01-01 04:52:00
294,user_14,VPN Access,Windows,UK,0.13,2024-01-01 04:53:00
295,user_45,Data Exfiltration,Android,China,0.08,2024-01-01 04:54:00
296,user_31,Privilege Escalation,Windows,Germany,0.42,2024-01-01 04:55:00
297,user_50,File Access,iOS,UK,0.1,2024-01-01 04:56:00
298,user_39,Privilege Escalation,Mac,UK,0.39,2024-01-01 04:57:00
299,user_27,Privilege Escalation,Mac,UK,0.67,2024-01-01 04:58:00
300,user_37,Login,Mac,India,0.46,2024-01-01 04:59:00
301,user_12,File Access,iOS,USA,0.09,2024-01-01 05:00:00
302,user_28,Privilege Escalation,Linux,Germany,0.28,2024-01-01 05:01:00
303,user_99,File Access,Mac,Germany,0.38,2024-01-01 05:02:00
304,user_92,Failed Login,Linux,Russia,0.95,2024-01-01 05:03:00
305,user_41,Suspicious Command,iOS,UK,0.21,2024-01-01 05:04:00
306,user_61,VPN Access,Windows,USA,0.35,2024-01-01 05:05:00
307,user_53,Suspicious Command,Linux,USA,0.98,2024-01-01 05:06:00
308,user_17,Failed Login,Windows,USA,0.1,2024-01-01 05:07:00
309,user_99,File Access,Android,USA,0.29,2024-01-01 05:08:00
310,user_91,Data Exfiltration,iOS,UK,0.15,2024-01-01 05:09:00
311,user_100,Login,iOS,Germany,0.31,2024-01-01 05:10:00
312,user_15,VPN Access,Mac,Russia,0.67,2024-01-01 05:11:00
313,user_89,Login,iOS,India,0.62,2024-01-01 05:12:00
314,user_83,Failed Login,Android,USA,0.5,2024-01-01 05:13:00
315,user_75,Login,Windows,USA,0.33,2024-01-01 05:14:00
316,user_12,Privilege Escalation,iOS,India,0.99,2024-01-01 05:15:00
317,user_86,File Access,Linux,India,0.58,2024-01-01 05:16:00
318,user_44,VPN Access,Mac,UK,0.98,2024-01-01 05:17:00
319,user_18,Privilege Escalation,Mac,India,0.83,2024-01-01 05:18:00
320,user_4,VPN Access,Android,Germany,0.53,2024-01-01 05:19:00
321,user_56,Privilege Escalation,Windows,China,0.05,2024-01-01 05:20:00
322,user_4,Privilege Escalation,Windows,India,0.79,2024-01-01 05:21:00
323,user_73,VPN Access,Linux,China,0.31,2024-01-01 05:22:00
324,user_68,Suspicious Command,Linux,India,0.09,2024-01-01 05:23:00
325,user_24,VPN Access,Windows,USA,0.15,2024-01-01 05:24:00
326,user_29,VPN Access,Linux,USA,0.25,2024-01-01 05:25:00
327,user_83,Privilege Escalation,Android,USA,0.52,2024-01-01 05:26:00
328,user_55,VPN Access,Mac,USA,0.95,2024-01-01 05:27:00
329,user_65,Failed Login,Windows,Germany,0.64,2024-01-01 05:28:00
330,user_84,Privilege Escalation,Mac,USA,0.03,2024-01-01 05:29:00
331,user_39,Failed Login,Linux,China,0.56,2024-01-01 05:30:00
332,user_8,Privilege Escalation,Android,Germany,0.25,2024-01-01 05:31:00
333,user_17,File Access,Android,China,0.54,2024-01-01 05:32:00
334,user_71,Login,Android,Russia,0.02,2024-01-01 05:33:00
335,user_98,Failed Login,Android,Russia,0.43,2024-01-01 05:34:00
336,user_55,Failed Login,Windows,China,0.24,2024-01-01 05:35:00
337,user_21,File Access,iOS,UK,0.24,2024-01-01 05:36:00
338,user_91,VPN Access,Android,China,0.3,2024-01-01 05:37:00
339,user_86,Privilege Escalation,Windows,China,0.25,2024-01-01 05:38:00
340,user_2,Privilege Escalation,Windows,China,0.53,2024-01-01 05:39:00
341,user_39,File Access,Linux,India,0.71,2024-01-01 05:40:00
342,user_70,Data Exfiltration,Mac,USA,0.76,2024-01-01 05:41:00
343,user_47,VPN Access,Android,UK,0.74,2024-01-01 05:42:00
344,user_13,Data Exfiltration,Windows,UK,0.0,2024-01-01 05:43:00
345,user_60,Suspicious Command,iOS,India,0.56,2024-01-01 05:44:00
346,user_5,Failed Login,Mac,Russia,0.96,2024-01-01 05:45:00
347,user_14,VPN Access,Linux,India,0.96,2024-01-01 05:46:00
348,user_97,Data Exfiltration,Windows,UK,0.4,2024-01-01 05:47:00
349,user_47,Failed Login,iOS,Russia,0.11,2024-01-01 05:48:00
350,user_49,Data Exfiltration,Mac,India,0.51,2024-01-01 05:49:00
351,user_22,Suspicious Command,Windows,India,0.52,2024-01-01 05:50:00
352,user_1,Login,Mac,Germany,0.21,2024-01-01 05:51:00
353,user_18,Failed Login,Linux,Russia,0.64,2024-01-01 05:52:00
354,user_39,Suspicious Command,Linux,USA,0.25,2024-01-01 05:53:00
355,user_57,File Access,Linux,USA,0.13,2024-01-01 05:54:00
356,user_38,Data Exfiltration,Windows,USA,0.9,2024-01-01 05:55:00
357,user_78,Login,Android,UK,0.33,2024-01-01 05:56:00
358,user_24,Suspicious Command,Android,India,0.71,2024-01-01 05:57:00
359,user_52,Login,iOS,UK,0.67,2024-01-01 05:58:00
360,user_89,Failed Login,Android,Russia,0.27,2024-01-01 05:59:00
361,user_64,Privilege Escalation,iOS,China,0.75,2024-01-01 06:00:00
362,user_52,Data Exfiltration,Windows,India,0.3,2024-01-01 06:01:00
363,user_46,Login,Windows,USA,0.69,2024-01-01 06:02:00
364,user_73,Suspicious Command,iOS,China,0.45,2024-01-01 06:03:00
365,user_46,Data Exfiltration,iOS,China,0.12,2024-01-01 06:04:00
366,user_1,VPN Access,Windows,Germany,0.38,2024-01-01 06:05:00
367,user_23,Failed Login,Mac,Germany,0.77,2024-01-01 06:06:00
368,user_42,File Access,Windows,China,0.79,2024-01-01 06:07:00
369,user_10,Login,iOS,India,0.32,2024-01-01 06:08:00
370,user_78,Privilege Escalation,iOS,Germany,0.69,2024-01-01 06:09:00
371,user_14,File Access,Linux,UK,0.5,2024-01-01 06:10:00
372,user_30,Suspicious Command,Windows,Russia,0.09,2024-01-01 06:11:00
373,user_80,Privilege Escalation,Windows,China,0.09,2024-01-01 06:12:00
374,user_16,Login,Windows,India,0.2,2024-01-01 06:13:00
375,user_20,Privilege Escalation,Mac,China,0.77,2024-01-01 06:14:00
376,user_15,VPN Access,iOS,China,0.19,2024-01-01 06:15:00
377,user_44,VPN Access,Linux,India,0.58,2024-01-01 06:16:00
378,user_64,Privilege Escalation,Windows,USA,0.36,2024-01-01 06:17:00
379,user_30,Login,Linux,UK,0.17,2024-01-01 06:18:00
380,user_69,File Access,iOS,UK,0.22,2024-01-01 06:19:00
381,user_30,Failed Login,Windows,UK,0.04,2024-01-01 06:20:00
382,user_44,File Access,Linux,USA,0.39,2024-01-01 06:21:00
383,user_53,Suspicious Command,Android,China,0.51,2024-01-01 06:22:00
