L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
45140,22,6,92.0,3064,22,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3064.0,3869.0,0,0,0,0,24512000,30952000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
60962,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
51994,22,6,92.0,3116,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3765.0,0,0,0,0,24928000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
50968,22,6,92.0,3284,25,3765,21,27,27,27,4294952,15,15,63,63,1028,52,52,1028,3284.0,3765.0,0,0,0,0,1640000,1880000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
49760,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
43022,22,6,92.0,3236,25,3817,22,27,27,27,0,0,0,63,63,1028,52,52,1028,3236.0,3817.0,0,0,0,0,25888000,30536000,36,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
60868,22,6,92.0,21992,162,27083,161,27,27,27,4293076,1891,1891,63,63,1028,52,52,1028,932895003164.0,11607116073869.0,11072,64,6890,30,136000,160000,246,49,7,14,7,26883,26847,16384,64,0,0,0,0,1,SSH-Bruteforce
42800,22,6,92.0,19060,141,22798,130,27,27,27,4293436,1531,1531,63,63,1028,52,52,1028,639612664.0,753015268.0,8328,48,6890,30,120000,144000,205,42,6,12,6,26883,26847,34816,136,0,0,0,0,1,SSH-Bruteforce
49394,22,6,92.0,3148,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3765.0,0,0,0,0,25184000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
48148,22,6,92.0,3116,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3765.0,0,0,0,0,24928000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
45986,22,6,92.0,3284,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3284.0,3765.0,0,0,0,0,26272000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
57692,22,6,92.0,3168,24,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3168.0,3765.0,0,0,0,0,25344000,30120000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
59808,22,6,92.0,3116,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3765.0,0,0,0,0,24928000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
60154,22,6,92.0,21928,162,26979,159,27,27,27,4293061,1906,1906,63,63,1028,52,52,1028,939694163116.0,11607115033869.0,8280,48,10335,45,128000,160000,244,49,7,14,7,26883,26847,22528,88,0,0,0,0,1,SSH-Bruteforce
53704,22,6,92.0,3164,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3164.0,3869.0,0,0,0,0,25312000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
38558,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
49506,22,6,92.0,3220,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3220.0,3765.0,0,0,0,0,25760000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
54124,22,6,92.0,3272,26,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3272.0,3765.0,0,0,0,0,26176000,30120000,36,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
58100,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
46552,22,6,92.0,3168,24,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3168.0,3869.0,0,0,0,0,25344000,30952000,36,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
51034,22,6,92.0,3132,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3765.0,0,0,0,0,25056000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
43714,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
33522,22,6,92.0,3132,23,3869,23,27,27,27,4294951,16,16,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,1472000,1816000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
33032,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
42486,22,6,92.0,3180,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3180.0,3869.0,0,0,0,0,25440000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
53334,22,6,92.0,3132,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3765.0,0,0,0,0,25056000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
35376,22,6,92.0,3284,25,3765,21,27,27,27,4294952,15,15,63,63,1028,52,52,1028,3284.0,3765.0,0,0,0,0,1640000,1880000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
36042,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
58056,22,6,92.0,3080,22,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3080.0,3869.0,0,0,0,0,24640000,30952000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
34016,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
59970,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
48634,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
55948,22,6,92.0,3236,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3236.0,3765.0,0,0,0,0,25888000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
60012,22,6,92.0,22324,169,26875,157,27,27,27,4293061,1906,1906,63,63,1028,52,52,1028,955296403132.0,11399116073869.0,8280,48,10335,45,136000,160000,249,49,7,14,7,26883,26847,22528,88,0,0,0,0,1,SSH-Bruteforce
44804,22,6,92.0,3148,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3765.0,0,0,0,0,25184000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
60460,22,6,92.0,3064,22,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3064.0,3869.0,0,0,0,0,24512000,30952000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
57338,22,6,92.0,3200,24,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3200.0,3869.0,0,0,0,0,25600000,30952000,36,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
48230,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
45578,22,6,92.0,3164,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3164.0,3869.0,0,0,0,0,25312000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
59802,22,6,92.0,3028,21,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3028.0,3869.0,0,0,0,0,24224000,30952000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
39096,22,6,92.0,3220,25,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3220.0,3869.0,0,0,0,0,25760000,30952000,37,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
54978,22,6,92.0,3116,23,3869,23,27,27,27,4294951,16,16,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,1464000,1816000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
33138,22,6,92.0,22060,163,26875,157,27,27,27,4293076,1891,1891,63,63,1028,52,52,1028,939295363132.0,11503115033869.0,8296,48,6890,30,136000,160000,243,49,7,14,7,26883,26847,26624,104,0,0,0,0,1,SSH-Bruteforce
56548,22,6,92.0,3236,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3236.0,3765.0,0,0,0,0,25888000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
45334,22,6,92.0,3236,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3236.0,3765.0,0,0,0,0,25888000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
44802,22,6,92.0,3116,23,3817,22,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3817.0,0,0,0,0,24928000,30536000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
41880,22,6,92.0,18976,140,22850,131,27,27,27,4293436,1531,1531,63,63,1028,52,52,1028,639612580.0,763415216.0,2744,16,3445,15,120000,144000,205,42,6,12,6,26883,26847,47104,184,0,0,0,0,1,SSH-Bruteforce
37506,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
60660,22,6,92.0,3148,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3765.0,0,0,0,0,25184000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
39246,22,6,92.0,3132,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3765.0,0,0,0,0,25056000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
50362,22,6,92.0,3212,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3212.0,3765.0,0,0,0,0,25696000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
40588,22,6,92.0,3236,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3236.0,3765.0,0,0,0,0,25888000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
48790,22,6,92.0,3196,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3196.0,3869.0,0,0,0,0,25568000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
46218,22,6,92.0,3132,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3765.0,0,0,0,0,25056000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
37684,22,6,92.0,3316,25,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3316.0,3869.0,0,0,0,0,26528000,30952000,37,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
46860,22,6,92.0,3132,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3765.0,0,0,0,0,25056000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
46908,22,6,92.0,3164,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3164.0,3765.0,0,0,0,0,25312000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
36686,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
44006,22,6,92.0,3180,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3180.0,3869.0,0,0,0,0,25440000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
38776,22,6,92.0,18844,139,22798,130,27,27,27,4293404,1563,1563,63,63,1028,52,52,1028,94289416.0,1129511503.0,5536,32,6890,30,112000,136000,203,42,6,12,6,26883,26847,40960,160,0,0,0,0,1,SSH-Bruteforce
56088,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
49160,22,6,92.0,3064,22,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3064.0,3869.0,0,0,0,0,24512000,30952000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
56908,22,6,92.0,3252,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3252.0,3765.0,0,0,0,0,26016000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
46458,22,6,92.0,22232,166,26823,156,27,27,27,4292998,1969,1969,63,63,1028,52,52,1028,3268643612528.0,3765763415424.0,5488,32,10335,45,144000,176000,245,49,7,14,7,26883,26847,28672,112,0,0,0,0,1,SSH-Bruteforce
44892,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
55960,22,6,92.0,3080,22,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3080.0,3869.0,0,0,0,0,24640000,30952000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
56982,22,6,92.0,3148,23,3817,22,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3817.0,0,0,0,0,25184000,30536000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
58418,22,6,92.0,3164,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3164.0,3765.0,0,0,0,0,25312000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
42054,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
50258,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
57904,22,6,92.0,3116,23,3817,22,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3817.0,0,0,0,0,24928000,30536000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
56612,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
48374,22,6,92.0,22128,164,26875,157,27,27,27,4292998,1969,1969,63,63,1028,52,52,1028,956412564.0,1160715268.0,11056,64,10335,45,104000,128000,244,49,7,14,7,26883,26847,12288,48,0,0,0,0,1,SSH-Bruteforce
34346,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
35276,22,6,92.0,3268,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3268.0,3765.0,0,0,0,0,26144000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
36676,22,6,92.0,3220,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3220.0,3765.0,0,0,0,0,25760000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
59756,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
32936,22,6,92.0,3184,24,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3184.0,3869.0,0,0,0,0,25472000,30952000,36,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
34950,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
35614,22,6,92.0,3164,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3164.0,3765.0,0,0,0,0,25312000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
33424,22,6,92.0,22124,163,26875,157,27,27,27,4293076,1891,1891,63,63,1028,52,52,1028,956493803180.0,11503115033869.0,8360,48,10335,45,136000,160000,243,49,7,14,7,26883,26847,43008,168,0,0,0,0,1,SSH-Bruteforce
40160,22,6,92.0,3168,24,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3168.0,3869.0,0,0,0,0,25344000,30952000,36,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
42778,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
38292,22,6,92.0,3288,26,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3288.0,3869.0,0,0,0,0,26304000,30952000,38,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
51662,22,6,92.0,3080,22,3817,22,27,27,27,0,0,0,63,63,1028,52,52,1028,3080.0,3817.0,0,0,0,0,24640000,30536000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
40312,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
34000,22,6,92.0,3220,25,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3220.0,3765.0,0,0,0,0,25760000,30120000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
56628,22,6,92.0,3148,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3765.0,0,0,0,0,25184000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
57408,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
59784,22,6,92.0,3116,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3869.0,0,0,0,0,24928000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
52604,22,6,92.0,22420,169,26563,151,27,27,27,4293030,1937,1937,63,63,1028,52,52,1028,968495683168.0,11295113993869.0,5504,32,10335,45,128000,152000,243,49,7,14,7,26883,26847,32768,128,0,0,0,0,1,SSH-Bruteforce
59350,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
41336,22,6,92.0,3148,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3148.0,3869.0,0,0,0,0,25184000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
42534,22,6,92.0,3248,24,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3248.0,3765.0,0,0,0,0,25984000,30120000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
57996,22,6,92.0,3116,23,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3116.0,3765.0,0,0,0,0,24928000,30120000,33,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
42878,22,6,92.0,18868,137,23006,134,27,27,27,4293436,1531,1531,63,63,1028,52,52,1028,654812320.0,763415372.0,5616,32,10335,45,120000,144000,205,42,6,12,6,26883,26847,61440,240,0,0,0,0,1,SSH-Bruteforce
51842,22,6,92.0,3132,23,3869,23,27,27,27,0,0,0,63,63,1028,52,52,1028,3132.0,3869.0,0,0,0,0,25056000,30952000,35,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
60406,22,6,92.0,3272,26,3765,21,27,27,27,0,0,0,63,63,1028,52,52,1028,3272.0,3765.0,0,0,0,0,26176000,30120000,36,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
52288,22,6,92.0,22196,165,26979,159,27,27,27,4293030,1937,1937,63,63,1028,52,52,1028,958094843132.0,11607115033869.0,5504,32,6890,30,128000,160000,247,49,7,14,7,26883,26847,32768,128,0,0,0,0,1,SSH-Bruteforce
47824,22,6,92.0,3164,23,3817,22,27,27,27,0,0,0,63,63,1028,52,52,1028,3164.0,3817.0,0,0,0,0,25312000,30536000,34,7,1,2,1,26883,26847,0,0,0,0,0,0,1,SSH-Bruteforce
